root@vps-ffff604a:/www/wwwroot/f.snaptik.fit/yt-dlp/yt-dlp-stream# docker compose -f docker-compose.proton.yml logs -f gateway-warp
ytdlp-gateway-warp  | 2026/04/04 08:38:52 [w10] restarting ytdlp-gluetun-10
ytdlp-gateway-warp  | 2026/04/04 08:38:52 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:59558->172.30.0.9:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:38:55 [w9] restarting ytdlp-stream-9
ytdlp-gateway-warp  | 2026/04/04 08:39:00 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38548->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:00 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38538->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:00 [w5] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:00 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38564->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:01 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38574->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:02 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38584->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:03 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38596->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:03 [w10] restarting ytdlp-stream-10
ytdlp-gateway-warp  | 2026/04/04 08:39:03 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38612->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:04 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38618->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:04 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38634->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:04 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38636->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:04 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38624->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:05 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38660->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:05 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38654->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:05 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38668->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:05 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38678->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:05 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38682->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:06 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38698->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:07 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38712->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:07 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:38728->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:13 [w6] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:13 [w2] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:39:13 [w2] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:39:13 [w2] restarting ytdlp-gluetun-2
ytdlp-gateway-warp  | 2026/04/04 08:39:19 [w1] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:19 [w3] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:39:19 [w3] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:39:19 [w3] restarting ytdlp-gluetun-3
ytdlp-gateway-warp  | 2026/04/04 08:39:21 [w7] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:24 [w2] restarting ytdlp-stream-2
ytdlp-gateway-warp  | 2026/04/04 08:39:29 [w8] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:30 [w4] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:39:30 [w4] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:39:30 [w4] restarting ytdlp-gluetun-4
ytdlp-gateway-warp  | 2026/04/04 08:39:30 [w3] restarting ytdlp-stream-3
ytdlp-gateway-warp  | 2026/04/04 08:39:36 [w9] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:38 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:36280->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:39 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:36294->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:39 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:36306->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:40 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:42552->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:41 [w4] restarting ytdlp-stream-4
ytdlp-gateway-warp  | 2026/04/04 08:39:41 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:42564->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:41 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:42568->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:41 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:42580->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:43 [w10] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:39:45 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:42586->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:39:45 [extractor:w4] tiktok ipc error: read tcp 172.30.0.13:42592->172.30.0.11:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:40:04 [w2] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:40:11 [w3] restarted successfully
